ROWNUM;FullName;ShortName;Area;District;PostalCode;Address;ChiefName;ChiefPosition;ChiefGender;ChiefPhone;PublicPhone;Fax;Email;PaidServicesInfo;FreeServicesInfo;WorkingHours;ClarificationOfWorkingHours;Specialization;Bedspace;Departments;ExtraInfo;X;Y;GLOBALID;
1;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская больница № 17 Департамента здравоохранения города Москвы»";"ГБУЗ ГБ № 17 ДЗМ";"Западный административный округ";"район Солнцево";"119620";"Волынская улица, дом 7";"Попович Виктор Константинович";"главный врач";"мужской";"(495) 439-25-77";"(495) 439-25-77";"(495) 439-14-88";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"495";"Хирургическое отделение";"";"37,412937";"55,642623";"84055657";
2;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская больница № 3 Департамента здравоохранения города Москвы»";"ГБУЗ ГБ № 3 ДЗМ";"Зеленоградский административный округ";"район Савёлки";"124489";"Каштановая аллея, дом 2, строение 1";"Голоусиков Иван Яковлевич";"главный врач";"мужской";"(499) 735-64-29";"(499) 735-64-29";"(499) 735-32-06";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"1242";"";"";"37,233302";"55,98331";"84055658";
3;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская больница № 43 с поликлиническим отделением Департамента здравоохранения города Москвы»";"ГБУЗ ГБ № 43 ДЗМ";"Северо-Восточный административный округ";"район Северный";"127204";"3-я Северная линия, дом 27";"Семерчев Демьян Петрович";"главный врач";"мужской";"(499) 767-87-11";"(499) 767-87-22";"(499) 767-87-11";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"25";"Поликлиническое отделение";"";"37,552526";"55,940491";"84055659";
4;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская больница № 49 Департамента здравоохранения города Москвы»";"ГБУЗ ГБ № 49 ДЗМ";"Юго-Восточный административный округ";"район Капотня";"109429";"2-й квартал Капотня, дом 16";"Чучелин Евгений Григорьевич";"исполняющий обязанности главного врача";"мужской";"(495) 355-15-47";"(495) 355-15-47";"(495) 355-36-38";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"420";"1-е терапевтическое отделение по уходу";"";"37,803436";"55,638608";"84055660";
5;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 54 Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 54 ДЗМ";"Восточный административный округ";"район Преображенское";"107370";"набережная Шитова, дом 72";"Нахаев Виктор Иванович";"главный врач";"мужской";"(499) 168-33-28";"(499) 168-33-28";"(499) 168-33-28";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"565";"";"";"37,730548";"55,806817";"84055661";
6;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская больница № 56 Департамента здравоохранения города Москвы»";"ГБУЗ ГБ № 56 ДЗМ";"Южный административный округ";"Даниловский район";"115114";"Павелецкая набережная, дом 6";"Погонченкова Ирэна Владимировна";"главный врач";"женский";"(499) 235-95-66; (495) 536-94-03";"(495) 235-52-14; (495) 536-94-09";"(499) 235-95-66";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"Всего 440: укомплектовано-240,закрыто на капитальный ремонт-200. Кроме того 6 коек Отделения анестезиологии-реанимации";"5-е гинекологическое отделение; 3-е гинекологическое отделение; 1-е гнойное хирургическое отделение; Отделение микрохирургии; Терапевтическое отделение; Отделение анестезиологии-реанимации";"";"37,64736";"55,711667";"84055662";
7;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская больница № 56 филиал № 1 Департамента здравоохранения города Москвы»";"ГБУЗ ГБ № 56 филиал № 1 ДЗМ";"Центральный административный округ";"район Замоскворечье";"115093";"1-й Щипковский переулок, дом 19";"Слонов Андрей Владимирович";"заведующий филиалом";"мужской";"(499) 237-25-81";"(499) 236-42-24";"(499) 237-21-16";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"гинекология";"Всего: 210. Кроме того: 6 коек отделение анестезиологии-реанимации, 5 коек дневной стационар.";"Гинекологическое отделение";"";"37,630237";"55,72378";"84055663";
8;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская больница № 8 Департамента здравоохранения города Москвы»";"ГБУЗ ГБ № 8 ДЗМ";"Северный административный округ";"Савёловский район";"127287";"4-й Вятский переулок, дом 39";"Дуленков Андрей Борисович";"главный врач";"мужской";"(495) 613-45-09";"(495) 613-43-79";"(495) 613-45-09";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"260";"";"";"37,569333";"55,799596";"84055664";
9;"Государственное бюджетное учреждение здравоохранения города Москвы «Внуковская больница Департамента здравоохранения города Москвы»";"ГБУЗ Внуковская больница ДЗМ";"Новомосковский административный округ";"поселение Внуковское";"142750";"посёлок Абабурово, улица Маяковского, дом 1";"Словеснова Ираида Викторовна";"главный врач";"женский";"(495) 736-62-34";"(495) 736-64-17";"(495) 736-62-34";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-19:00; вторник 08:00-19:00; среда 08:00-19:00; четверг 08:00-19:00; пятница 08:00-19:00; суббота 09:00-14:00; воскресенье выходной";"";"многопрофильное медицинское учреждение";"35";"Терапевтическое отделение";"";"37,207395";"55,607685";"84055665";
10;"Государственное бюджетное учреждение здравоохранения города Москвы «Вороновская больница Департамента здравоохранения города Москвы»";"ГБУЗ Вороновская больница ДЗМ";"Троицкий административный округ";"поселение Вороновское";"142160";"поселение Вороновское, поселок ЛМС";"Казаков Алексей Сергеевич";"главный врач";"мужской";"(495) 850-71-75";"(495) 850-74-37";"(495) 850-71-75";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"12 коек круглосуточного стационара + 4 койки дневного стационара";"Педиатрическое отделение";"";"37,74119";"55,803568";"84055666";
